granularity,period,factor,return,percentile,rank,is_best
week,2015-W09,qlib158/vsumn20,0.23664,0.602,16,0
week,2015-W09,gtja191/alpha_168,0.22596,0.5914,17,0
week,2015-W09,gtja191/alpha_041,0.25285,0.5907,18,0
week,2015-W09,gtja191/alpha_048,0.22437,0.5628,19,0
week,2015-W09,gtja191/alpha_157,0.21684,0.5534,20,0
week,2015-W09,alpha101/alpha_044,0.20758,0.5273,21,0
week,2015-W09,alpha101/alpha_015,0.20062,0.5084,22,0
week,2015-W09,alpha101/alpha_055,0.19255,0.4935,23,0
week,2015-W09,alpha101/alpha_067,0.18623,0.4874,24,0
week,2015-W09,alpha101/alpha_080,0.1854,0.436,25,0
week,2015-W09,alpha101/alpha_027,0.17754,0.4355,26,0
week,2015-W09,qlib158/min10,0.17019,0.4097,27,0
week,2015-W09,alpha101/alpha_004,0.12691,0.2591,28,0
week,2015-W09,gtja191/alpha_006,0.1107,0.1931,29,0
week,2015-W10,alpha101/alpha_016,0.38496,0.8478,1,1
week,2015-W10,alpha101/alpha_044,0.33535,0.7995,2,0
week,2015-W10,gtja191/alpha_025,0.33701,0.7818,3,0
week,2015-W10,alpha101/alpha_026,0.31756,0.7739,4,0
week,2015-W10,alpha101/alpha_015,0.32537,0.7592,5,0
week,2015-W10,qlib158/vma10,0.31943,0.7548,6,0
week,2015-W10,alpha101/alpha_055,0.29734,0.7147,7,0
week,2015-W10,gtja191/alpha_001,0.28447,0.6908,8,0
week,2015-W10,gtja191/alpha_090,0.29192,0.6667,9,0
week,2015-W10,alpha101/alpha_023,0.25051,0.6354,10,0
week,2015-W10,alpha101/alpha_002,0.25411,0.6233,11,0
week,2015-W10,gtja191/alpha_157,0.24604,0.6223,12,0
week,2015-W10,alpha101/alpha_067,0.23962,0.6103,13,0
week,2015-W10,gtja191/alpha_016,0.24486,0.6005,14,0
week,2015-W10,qlib158/vsumn5,0.25021,0.5997,15,0
week,2015-W10,alpha101/alpha_024,0.24527,0.5879,16,0
week,2015-W10,gtja191/alpha_048,0.24001,0.5684,17,0
week,2015-W10,gtja191/alpha_037,0.23339,0.5661,18,0
week,2015-W10,gtja191/alpha_008,0.22521,0.5616,19,0
