granularity,period,factor,return,percentile,rank,is_best
week,2016-W15,reversal,-0.16471,0.2208,3,0
week,2016-W16,lowvol,-0.01593,0.7731,1,1
week,2016-W16,momentum,-0.08708,0.4778,2,0
week,2016-W16,reversal,-0.11045,0.3565,3,0
week,2016-W17,momentum,0.00172,0.758,1,1
week,2016-W17,lowvol,-0.01293,0.7277,2,0
week,2016-W17,reversal,-0.09046,0.3222,3,0
week,2016-W18,momentum,0.05637,0.8408,1,1
week,2016-W18,lowvol,0.01125,0.722,2,0
week,2016-W18,reversal,-0.07333,0.2564,3,0
week,2016-W19,momentum,0.18468,0.8883,1,1
week,2016-W19,reversal,0.05291,0.5578,2,0
week,2016-W19,lowvol,0.02566,0.4297,3,0
week,2016-W20,momentum,0.28836,0.9294,1,1
week,2016-W20,reversal,0.04497,0.4747,2,0
week,2016-W20,lowvol,0.01936,0.3648,3,0
week,2016-W21,momentum,0.27345,0.9264,1,1
week,2016-W21,reversal,0.03185,0.3606,2,0
week,2016-W21,lowvol,0.02313,0.3285,3,0
week,2016-W22,momentum,0.41969,0.9814,1,1
week,2016-W22,reversal,0.13988,0.7511,2,0
week,2016-W22,lowvol,0.01045,0.2834,3,0
week,2016-W23,momentum,0.24203,0.924,1,1
week,2016-W23,reversal,0.02268,0.3415,2,0
week,2016-W23,lowvol,0.02024,0.3259,3,0
week,2016-W24,momentum,0.13366,0.6448,1,1
week,2016-W24,reversal,0.06285,0.3335,2,0
week,2016-W24,lowvol,0.03555,0.1933,3,0
week,2016-W25,reversal,0.0664,0.4811,1,1
week,2016-W25,lowvol,0.02649,0.2447,2,0
week,2016-W25,momentum,-0.03408,0.0911,3,0
week,2016-W26,reversal,0.03295,0.5771,1,1
week,2016-W26,lowvol,0.01717,0.5001,2,0
week,2016-W26,momentum,-0.15261,0.0317,3,0
week,2016-W27,lowvol,-0.00227,0.6941,1,1
week,2016-W27,reversal,-0.04215,0.5073,2,0
week,2016-W27,momentum,-0.22881,0.0145,3,0
week,2016-W28,lowvol,0.0066,0.7284,1,1
week,2016-W28,reversal,0.01209,0.7236,2,0
week,2016-W28,momentum,-0.16551,0.028,3,0
week,2016-W29,lowvol,0.04286,0.7709,1,1
week,2016-W29,reversal,-0.00919,0.4981,2,0
week,2016-W29,momentum,-0.05495,0.2479,3,0
week,2016-W30,lowvol,0.03748,0.6623,1,1
week,2016-W30,reversal,0.02948,0.6142,2,0
week,2016-W30,momentum,-0.00289,0.4245,3,0
week,2016-W31,momentum,0.09503,0.7844,1,1
week,2016-W31,lowvol,0.05414,0.5995,2,0
week,2016-W31,reversal,0.02544,0.4015,3,0
week,2016-W32,lowvol,0.04463,0.6195,1,1
week,2016-W32,reversal,0.03556,0.5127,2,0
week,2016-W32,momentum,0.03077,0.484,3,0
week,2016-W33,lowvol,0.01225,0.7118,1,1
