granularity,period,factor,return,percentile,rank,is_best
week,2024-W40,lowvol,-0.01489,0.3501,4,0
week,2024-W41,momentum,0.29755,0.8691,1,1
week,2024-W41,reversal,0.20706,0.8203,2,0
week,2024-W41,rz_buy,0.16236,0.6529,3,0
week,2024-W41,lowvol,0.07135,0.5189,4,0
week,2024-W42,reversal,0.24948,0.8268,1,1
week,2024-W42,momentum,0.20589,0.7228,2,0
week,2024-W42,rz_buy,0.15912,0.6054,3,0
week,2024-W42,lowvol,0.09746,0.4221,4,0
week,2024-W43,rz_buy,0.16146,0.807,1,1
week,2024-W43,reversal,0.13123,0.7717,2,0
week,2024-W43,lowvol,0.06315,0.6202,3,0
week,2024-W43,momentum,-0.04695,0.1646,4,0
week,2024-W44,rz_buy,0.08639,0.6818,1,1
week,2024-W44,lowvol,0.03791,0.5839,2,0
week,2024-W44,reversal,0.00238,0.4132,3,0
week,2024-W44,momentum,-0.24142,0.0074,4,0
week,2024-W45,rz_buy,0.02365,0.5167,1,1
week,2024-W45,lowvol,0.01884,0.4966,2,0
week,2024-W45,reversal,0.00603,0.4328,3,0
week,2024-W45,momentum,-0.10436,0.0776,4,0
week,2024-W46,lowvol,0.03518,0.5777,1,1
week,2024-W46,rz_buy,0.02255,0.5166,2,0
week,2024-W46,reversal,-0.01427,0.3457,3,0
week,2024-W46,momentum,-0.07221,0.1977,4,0
week,2024-W47,lowvol,0.03578,0.586,1,1
week,2024-W47,reversal,0.00313,0.3968,2,0
week,2024-W47,rz_buy,-0.00334,0.3829,3,0
week,2024-W47,momentum,-0.09922,0.1304,4,0
week,2024-W48,lowvol,0.05168,0.7715,1,1
week,2024-W48,rz_buy,-0.02421,0.456,2,0
week,2024-W48,reversal,-0.07588,0.1987,3,0
week,2024-W48,momentum,-0.24367,0.0064,4,0
week,2024-W49,lowvol,0.01517,0.8611,1,1
week,2024-W49,rz_buy,-0.07202,0.6063,2,0
week,2024-W49,reversal,-0.17556,0.1645,3,0
week,2024-W49,momentum,-0.27848,0.0302,4,0
week,2024-W50,lowvol,-0.03204,0.8647,1,1
week,2024-W50,rz_buy,-0.12285,0.5738,2,0
week,2024-W50,reversal,-0.18284,0.2915,3,0
week,2024-W50,momentum,-0.2485,0.1098,4,0
week,2024-W51,lowvol,-0.03764,0.7323,1,1
week,2024-W51,momentum,-0.07763,0.5258,2,0
week,2024-W51,rz_buy,-0.0822,0.5083,3,0
week,2024-W51,reversal,-0.09227,0.4463,4,0
week,2024-W52,momentum,-0.00307,0.7352,1,1
week,2024-W52,lowvol,-0.03727,0.5783,2,0
week,2024-W52,reversal,-0.04896,0.5019,3,0
week,2024-W52,rz_buy,-0.05133,0.4946,4,0
week,2025-W01,reversal,0.08968,0.7665,1,1
week,2025-W01,rz_buy,3e-05,0.3978,2,0
week,2025-W01,lowvol,-0.01498,0.3299,3,0
week,2025-W01,momentum,-0.03786,0.2357,4,0
week,2025-W02,reversal,0.17414,0.7902,1,1
week,2025-W02,rz_buy,0.06454,0.4309,2,0
week,2025-W02,momentum,0.05766,0.4063,3,0
week,2025-W02,lowvol,0.02035,0.224,4,0
week,2025-W03,momentum,0.154,0.7669,1,1
week,2025-W03,reversal,0.08066,0.5398,2,0
week,2025-W03,rz_buy,0.05472,0.43,3,0
week,2025-W03,lowvol,0.00843,0.2295,4,0
week,2025-W04,reversal,0.16825,0.8118,1,1
week,2025-W04,rz_buy,0.054,0.4885,2,0
week,2025-W04,momentum,0.03665,0.3734,3,0
week,2025-W04,lowvol,0.00022,0.2284,4,0
week,2025-W05,reversal,0.17669,0.8282,1,1
week,2025-W05,rz_buy,0.13196,0.729,2,0
week,2025-W05,momentum,0.06688,0.5087,3,0
week,2025-W05,lowvol,-0.01269,0.1679,4,0
week,2025-W06,momentum,0.20183,0.8625,1,1
week,2025-W06,reversal,0.10359,0.7081,2,0
week,2025-W06,rz_buy,0.08916,0.6339,3,0
week,2025-W06,lowvol,-0.01104,0.2024,4,0
week,2025-W07,rz_buy,0.038,0.5445,1,1
week,2025-W07,reversal,0.02182,0.4615,2,0
week,2025-W07,lowvol,0.00361,0.3616,3,0
week,2025-W07,momentum,-0.02654,0.2211,4,0
week,2025-W08,rz_buy,0.04049,0.5181,1,1
week,2025-W08,lowvol,0.0209,0.4052,2,0
week,2025-W08,reversal,0.00363,0.3224,3,0
week,2025-W08,momentum,-0.13977,0.0144,4,0
week,2025-W09,lowvol,0.02439,0.6347,1,1
